"uf_exercicio";"qtd_servidores";"soma_salarios"
"AC";2634;19413848,89
"AL";6144;55655704,94
"AM";7299;61354766,07
"AP";8985;59977376,71
"BA";17432;161498142,76
"CE";13323;125504351,3
"DF";31338;385598114,95
"ES";8227;77618768,79
"GO";10301;98927083,29
"MA";8191;66052371,55
"MG";41574;404069695,66
"MS";7378;64849483,51
"MT";6886;60205167,44
"PA";13920;123478077,94
"PB";12599;117717587,1
"PE";16782;160623483,21
"PI";6822;59350660,25
"PR";16896;175896302,32
"RJ";69310;667319479,17
"RN";10488;97745668,45
"RO";8922;56304466
"RR";6416;41138250,85
"RS";26130;270057884,16
"SC";13572;136575471,59
"SE";4852;45801218,62
"SP";30537;371508754,13
"TO";3496;27970662,19
